id,condition_mem,mem_correct,source_correct,audio_mem,z_sdo,z_valence,z_interest,stable_c,SDO,valence,interest,stable_raw
985091,ingroup,1,1,2_32_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,0,0,2_13_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,1,1_09_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,1_13_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,2_14_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,1_15_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,1,0,2_40_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,1,0,1_35_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,1,0,1_39_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,1_11_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,baseline,1,0,1_24_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,2_16_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,baseline,1,0,2_24_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,2_11_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,0,0,2_35_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,1,0,1_34_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,2_09_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,1,0,2_38_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,1_22_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,outgroup,1,0,2_15_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,ingroup,0,0,1_36_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
985091,baseline,1,0,1_06_O_s.wav,-0.9823572380921426,1.11148051521033,1.3431645130403458,0.12,2.6666666666666665,4,5,1
